iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
SSD,SS,4576.0,44359.0,44359.0,amel,56937.0,27.194901,9.0742598,3,,,2009,,,60,0,,,60,0,,,60,0,,,1,13793
SSD,SS,4574.0,44336.0,44336.0,amiel,109409.0,31.30401,7.73173,3,,,2016,10.0,0.0,51,0,,,51,0,,,51,0,,,1,1661
SSD,SS,4575.0,44353.0,44353.0,amok,16374.0,29.68725,7.563925,3,,,2016,,,50,1,,,50,0,,,50,0,,,1,13733
SSD,SS,4575.0,44350.0,44350.0,angngnal coboni,16316.0,29.22498833,6.851526667,3,,,2016,,,50,0,,,50,0,,,50,0,,,1,13720
SSD,SS,4579.0,44388.0,44388.0,angol pri,16389.0,28.81445167,7.601961667,3,,,2016,,,50,0,,,50,0,,,50,0,,,1,13918
SSD,SS,4579.0,44385.0,44385.0,anguoth,16328.0,28.193765,8.781503333,3,,,2016,,,54,0,,,54,0,,,54,0,,,1,13900
SSD,SS,4576.0,44359.0,44359.0,ariath,56938.0,27.2269,9.1017399,3,,,2009,,,63,0,,,63,0,,,63,0,,,1,13796
SSD,SS,4576.0,44360.0,44360.0,aroyo town,56953.0,27.8533,8.6659603,3,,,2009,,,65,20,,,65,0,,,65,0,,,1,13806
SSD,SS,4575.0,44355.0,44355.0,arup  nyiel,16417.0,30.51676333,6.601316667,3,,,2016,,,48,0,,,48,0,,,48,0,,,1,13744
SSD,SS,4575.0,44352.0,44352.0,atiaba,16370.0,29.96934167,6.572121667,3,,,2016,,,50,1,,,50,4,,,50,0,,,1,13731
SSD,SS,4579.0,44389.0,44389.0,aweng pri,16401.0,28.55899667,9.101055,3,,,2016,,,46,0,,,46,0,,,46,0,,,1,13922
SSD,SS,4578.0,44378.0,44378.0,aweth primary school,,32.485008,11.37924,3,school,mapping,2018,9.0,15.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36725
SSD,SS,4581.0,44403.0,44403.0,awil gedid primary school,,27.9696444,7.7105556,3,school,mapping,2018,10.0,15.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36759
SSD,SS,4579.0,44387.0,44387.0,awul,16386.0,28.738075,8.188695,3,,,2016,,,44,0,,,44,0,,,44,0,,,1,13906
SSD,SS,4576.0,44358.0,44358.0,baac,56916.0,27.5646,9.2038498,3,,,2009,,,59,0,,,59,0,,,59,0,,,1,13765
SSD,SS,4580.0,44397.0,44397.0,bakpara,,28.256417,4.563917,3,school,mapping,2018,10.0,14.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36778
SSD,SS,4578.0,44371.0,44371.0,baliet primary school,,32.057667,9.294617,3,school,mapping,2018,10.0,15.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36705
SSD,SS,4580.0,44394.0,44394.0,baya pri,16357.0,30.31856,5.349023333,3,,,2016,,,49,2,,,49,0,,,49,0,,,1,13932
SSD,SS,4577.0,44367.0,44367.0,bienyang,57056.0,29.091801,9.05336,3,,,2010,,,66,0,,,66,0,,,66,2,,,1,13870
SSD,SS,4577.0,44369.0,44369.0,bimrok block13,57075.0,29.811501,9.2742796,3,,,2010,,,67,0,,,67,0,,,67,0,,,1,13874
SSD,SS,4577.0,44370.0,44370.0,biu center,57108.0,30.3029,9.6455297,3,,,2010,,,61,0,,,61,0,,,61,0,,,1,13886
SSD,SS,4577.0,44362.0,44362.0,blemkaf,56903.0,28.812401,9.3864899,3,,,2010,,,61,0,,,61,0,,,61,0,,,1,13828
SSD,SS,4580.0,44400.0,44400.0,bodo,16411.0,28.5177794,4.635065,1,,,2016,,,50,8,,,50,0,,,50,0,,,1,13935
SSD,SS,4572.0,44323.0,44323.0,bokana,57089.0,31.7199,5.6443,3,,,2010,,,74,14,,,74,0,,,74,2,,,1,13679
SSD,SS,4572.0,44319.0,44319.0,bori,56987.0,31.655899,4.97505,3,,,2010,,,66,44,,,66,0,,,66,4,,,1,13638
SSD,SS,4572.0,44323.0,44323.0,bosa ajut,57090.0,31.797701,5.67977,3,,,2010,,,65,5,,,65,0,,,65,0,,,1,13676
SSD,SS,4577.0,44364.0,44364.0,bou,57028.0,29.7285,8.8427095,3,,,2010,,,64,0,,,64,0,,,64,0,,,1,13840
SSD,SS,4575.0,44349.0,44349.0,bunagok,16306.0,30.994185,6.21098,3,,,2016,,,48,0,,,48,0,,,48,0,,,1,13713
SSD,SS,4572.0,44319.0,44319.0,bungu,56988.0,31.333401,4.6013398,3,,,2010,,,57,19,,,57,0,,,57,1,,,1,13628
SSD,SS,4578.0,44375.0,44375.0,bunji primary school,,33.7305556,9.965277799999999,3,school,mapping,2018,10.0,14.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36717
SSD,SS,4577.0,44366.0,44366.0,buol,57048.0,30.098301,8.3614902,3,,,2010,,,64,1,,,64,0,,,64,0,,,1,13854
SSD,SS,4576.0,44358.0,44358.0,burakuoc,56917.0,27.5513,8.85464,3,,,2009,,,70,0,,,70,0,,,70,0,,,1,13768
SSD,SS,4576.0,44360.0,44360.0,burayak,56954.0,27.5578,8.4391403,3,,,2009,,,61,6,,,61,0,,,61,0,,,1,13802
SSD,SS,4574.0,44333.0,44333.0,burmath primary school,,33.0166667,7.6397222,3,school,mapping,2018,10.0,14.0,50,4,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36685
SSD,SS,4576.0,44358.0,44358.0,burrap,56918.0,27.6138,8.9414701,3,,,2009,,,48,0,,,48,0,,,48,0,,,1,13782
SSD,SS,4574.0,44342.0,44342.0,chotbora,,30.919724,9.0778165,3,school,mapping,2018,9.0,14.0,47,0,0.0,0.0,47,0,0.0,0.0,47,0,0.0,0.0,1,36689
SSD,SS,4577.0,44369.0,44369.0,chotchara,57076.0,29.6112,9.0471897,3,,,2010,,,46,0,,,46,0,,,46,0,,,1,13880
SSD,SS,4578.0,44381.0,44381.0,chumadi primary,,32.9807778,11.5430556,3,school,mapping,2018,9.0,14.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36735
SSD,SS,4579.0,44383.0,44383.0,comboni abyei primary,,28.6038889,9.4641667,3,school,mapping,2018,9.0,15.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36746
SSD,SS,4581.0,44402.0,44402.0,comboni primary school,,25.6761111,8.4625,3,school,mapping,2018,9.0,14.0,48,0,0.0,0.0,48,0,0.0,0.0,48,0,0.0,0.0,1,36755
SSD,SS,4575.0,44352.0,44352.0,cuei.cok,16371.0,29.74652,6.724226667,3,,,2016,,,50,1,,,50,18,,,50,0,,,1,13730
SSD,SS,4577.0,44369.0,44369.0,daira b,57077.0,29.7878,9.2495098,3,,,2010,,,70,0,,,70,0,,,70,0,,,1,13883
SSD,SS,4578.0,44375.0,44375.0,dangaji basic school,,33.693184,9.931767,3,school,mapping,2018,10.0,14.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36718
SSD,SS,4577.0,44365.0,44365.0,dar el salam,57037.0,30.3069,8.1885595,3,,,2010,,,59,3,,,59,1,,,59,1,,,1,13843
SSD,SS,4578.0,44378.0,44378.0,dellal ajak primary school,,32.485001,11.37923,3,school,mapping,2018,9.0,15.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36726
SSD,SS,4575.0,44351.0,44351.0,deng wlial,16364.0,29.67765333,6.823906667,3,,,2016,,,50,2,,,50,0,,,50,0,,,1,13724
SSD,SS,4577.0,44363.0,44363.0,deng bow,56980.0,29.977699,9.3120604,3,,,2010,,,53,0,,,53,0,,,53,0,,,1,13829
SSD,SS,4574.0,44333.0,44333.0,dengjok primary school,,33.0011111,7.8813889,3,school,mapping,2018,10.0,14.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36686
SSD,SS,4579.0,44388.0,44388.0,dengnhial two pri,16390.0,28.71614,7.261505,3,,,2016,,,51,0,,,51,0,,,51,0,,,1,13915
SSD,SS,4578.0,44372.0,44372.0,dethwok primary school,,32.0063,9.844183,3,school,mapping,2018,9.0,15.0,49,0,0.0,0.0,49,0,0.0,0.0,49,0,0.0,0.0,1,36708
SSD,SS,4576.0,44358.0,44358.0,dhaik,56919.0,27.7101,8.9198999,3,,,2009,,,62,0,,,62,0,,,62,0,,,1,13783
SSD,SS,4577.0,44366.0,44366.0,dhorthiel,57049.0,30.072901,8.4007101,3,,,2010,,,62,0,,,62,0,,,62,0,,,1,13853
SSD,SS,4577.0,44365.0,44365.0,dhorwich musk,57038.0,30.2213,8.2227097,3,,,2010,,,67,0,,,67,0,,,67,0,,,1,13842
SSD,SS,4581.0,44403.0,44403.0,dier akok,,28.000467,7.71655,3,school,mapping,2018,9.0,14.0,49,0,0.0,0.0,49,0,0.0,0.0,49,0,0.0,0.0,1,36760
SSD,SS,4578.0,44379.0,44379.0,dimtama 2,,32.3266667,10.4216667,3,school,mapping,2018,11.0,17.0,49,0,0.0,0.0,49,0,0.0,0.0,49,0,0.0,0.0,1,36730
SSD,SS,4575.0,44354.0,44354.0,domuloto,16406.0,29.62106,6.249883333,3,,,2016,,,38,0,,,38,0,,,38,0,,,1,13738
SSD,SS,4572.0,44323.0,44323.0,dongunamachin,57091.0,31.6663,5.59553,3,,,2010,,,65,9,,,65,0,,,65,0,,,1,13680
SSD,SS,4577.0,44364.0,44364.0,dook,57029.0,29.7285,8.8427401,3,,,2010,,,68,0,,,68,0,,,68,0,,,1,13837
SSD,SS,4574.0,44342.0,44342.0,door nyawepri,,30.9055556,9.1702778,3,school,mapping,2018,9.0,14.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36690
SSD,SS,4580.0,44395.0,44395.0,dulo primary school,,30.7579895,6.84121,4,school,mapping,2018,8.0,15.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36773
SSD,SS,4572.0,44319.0,44319.0,gabat,56989.0,31.616301,4.8558002,3,,,2010,,,48,20,,,48,0,,,48,0,,,1,13654
SSD,SS,4572.0,44320.0,44320.0,gaderu,57018.0,31.50893,3.953232,1,,,2010,,,66,28,,,66,0,,,66,0,,,1,13659
SSD,SS,4580.0,44399.0,44399.0,gamunakpe,,29.494049,5.5742,3,school,mapping,2018,9.0,14.0,40,0,0.0,0.0,40,0,0.0,0.0,40,0,0.0,0.0,1,36783
SSD,SS,4572.0,44319.0,44319.0,gangi,56990.0,31.248199,4.4797802,3,,,2010,,,55,14,,,55,0,,,55,0,,,1,13648
SSD,SS,4579.0,44387.0,44387.0,ganglet,57096.0,29.0124,8.1287298,3,,,2010,,,44,0,,,44,0,,,44,0,,,1,13909
SSD,SS,4575.0,44350.0,44350.0,gar el gel,16317.0,29.15508333,7.024198333,3,,,2016,,,50,0,,,50,0,,,50,0,,,1,13721
SSD,SS,4578.0,44375.0,44375.0,gassmalla primary school,,28.07117,9.9654,4,school,mapping,2018,10.0,14.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36719
SSD,SS,4577.0,44365.0,44365.0,gear,57039.0,30.1444,8.38346,3,,,2010,,,64,0,,,64,0,,,64,0,,,1,13848
SSD,SS,4578.0,44381.0,44381.0,geiger,57073.0,32.761002,11.978,3,,,2008,,,219,0,,,219,0,,,219,0,,,1,13892
SSD,SS,4578.0,44381.0,44381.0,geiger primary,,32.7588889,11.9905556,3,school,mapping,2018,9.0,14.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36736
SSD,SS,4575.0,44356.0,44356.0,geng geng,16422.0,30.60177167,6.432133333,3,,,2016,,,36,3,,,36,0,,,36,0,,,1,13750
SSD,SS,4572.0,44322.0,44322.0,geri,57068.0,30.619101,3.7730999,3,,,2010,,,65,29,,,65,0,,,65,0,,,1,13675
SSD,SS,4580.0,44395.0,44395.0,gira primary school,,30.757959,6.84118,4,school,mapping,2018,8.0,14.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36774
SSD,SS,4575.0,44349.0,44349.0,githum,16307.0,31.33226667,6.483701667,3,,,2016,,,52,10,,,52,1,,,52,0,,,1,13714
SSD,SS,4576.0,44359.0,44359.0,gok machar,56939.0,26.866501,9.2146502,3,,,2009,,,57,0,,,57,0,,,57,0,,,1,13788
SSD,SS,4574.0,44335.0,44335.0,gok yom,109399.0,30.78497,9.17763,1,,,2016,10.0,0.0,50,0,,,50,0,,,50,0,,,1,1656
SSD,SS,4578.0,44379.0,44379.0,goldora,,32.460949,7.1044,4,school,mapping,2018,10.0,14.0,43,0,0.0,0.0,43,0,0.0,0.0,43,0,0.0,0.0,1,36731
SSD,SS,4578.0,44372.0,44372.0,gollo primary school,,32.153618,9.959933,3,school,mapping,2018,10.0,15.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36709
SSD,SS,4576.0,44361.0,44361.0,gongrual,56964.0,27.187901,9.0664597,3,,,2009,,,62,0,,,62,0,,,62,0,,,1,13816
SSD,SS,4576.0,44361.0,44361.0,goren i,56965.0,26.375799,8.9363899,3,,,2009,,,60,4,,,60,0,,,60,0,,,1,13826
SSD,SS,4577.0,44369.0,44369.0,guang guangna,57078.0,29.569401,9.0846901,3,,,2010,,,64,0,,,64,0,,,64,0,,,1,13878
SSD,SS,4575.0,44354.0,44354.0,guba pri,16407.0,29.63218333,6.508871667,3,,,2016,,,50,0,,,50,0,,,50,0,,,1,13740
SSD,SS,4572.0,44319.0,44319.0,gudele,56991.0,31.5084511,4.8401285,2,,,2010,,,64,9,,,64,0,,,64,0,,,1,13642
SSD,SS,4577.0,44363.0,44363.0,gued,56981.0,29.936399,9.2915201,3,,,2010,,,57,0,,,57,0,,,57,4,,,1,13835
SSD,SS,4577.0,44364.0,44364.0,gueny,57030.0,30.1017,8.7832603,3,,,2010,,,60,0,,,60,0,,,60,0,,,1,13836
SSD,SS,4577.0,44363.0,44363.0,guernguena,56982.0,30.0651,9.2063503,3,,,2010,,,63,0,,,63,0,,,63,0,,,1,13830
SSD,SS,4575.0,44354.0,44354.0,gulmar,16408.0,29.48824667,6.57094,3,,,2016,,,37,0,,,37,0,,,37,0,,,1,13739
SSD,SS,4572.0,44319.0,44319.0,hai marati east,56992.0,30.941299,5.13237,3,,,2010,,,60,9,,,60,0,,,60,0,,,1,13652
SSD,SS,4572.0,44319.0,44319.0,hai mauna,56993.0,31.5777738,4.8560425,1,,,2010,,,50,5,,,50,0,,,50,0,,,1,13629
SSD,SS,4576.0,44360.0,44360.0,hai salaam,56955.0,27.556100999999998,8.4393196,3,,,2009,,,49,3,,,49,0,,,49,0,,,1,13809
SSD,SS,4577.0,44363.0,44363.0,hai salam,56983.0,29.910801,9.1581497,3,,,2010,,,65,0,,,65,0,,,65,0,,,1,13831
SSD,SS,4576.0,44358.0,44358.0,halibul,56920.0,27.464701,8.8944101,3,,,2009,,,61,0,,,61,0,,,61,0,,,1,13774
SSD,SS,4573.0,44332.0,44332.0,hilieu,16393.0,32.57046,4.4102396,1,,,2016,,,50,0,,,50,2,,,50,4,,,1,13702
SSD,SS,4580.0,44392.0,44392.0,hill side primary school,,29.4769,4.922133,3,school,mapping,2018,9.0,14.0,50,1,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36768
SSD,SS,4581.0,44401.0,44401.0,holy city,,28.0452778,8.0072222,3,school,mapping,2018,8.0,15.0,49,0,0.0,0.0,49,0,0.0,0.0,49,0,0.0,0.0,1,36749
SSD,SS,4580.0,44391.0,44391.0,hope primary school,,29.1330556,4.7997222,3,school,mapping,2018,10.0,14.0,49,10,0.0,0.0,49,0,0.0,0.0,49,0,0.0,0.0,1,36764
SSD,SS,4573.0,44330.0,44330.0,illuhum pri,16343.0,32.4729,5.043647,1,,,2016,,,52,0,,,52,1,,,52,0,,,1,13698
SSD,SS,4576.0,44359.0,44359.0,jaac,56940.0,27.185699,9.4746904,3,,,2009,,,61,0,,,61,0,,,61,0,,,1,13787
SSD,SS,4572.0,44320.0,44320.0,jalimo,57019.0,31.5947,3.7501700000000002,3,,,2010,,,66,2,,,66,0,,,66,0,,,1,13660
SSD,SS,4572.0,44319.0,44319.0,jalite kudok,56994.0,31.857599,4.6897998,3,,,2010,,,51,16,,,51,0,,,51,0,,,1,13651
SSD,SS,4578.0,44373.0,44373.0,jangok,,33.505219,9.05317,3,school,mapping,2018,5.0,13.0,38,0,0.0,0.0,38,0,0.0,0.0,38,0,0.0,0.0,1,36712
SSD,SS,4577.0,44364.0,44364.0,jany jany,57031.0,29.7285,8.8427401,3,,,2010,,,67,0,,,67,0,,,67,0,,,1,13839
SSD,SS,4577.0,44365.0,44365.0,jarber,57040.0,30.132099,8.3073397,3,,,2010,,,74,0,,,74,0,,,74,0,,,1,13851
SSD,SS,4575.0,44351.0,44351.0,jir pri,16365.0,29.700525,6.809723333,3,,,2016,,,50,0,,,50,0,,,50,0,,,1,13722
SSD,SS,4572.0,44323.0,44323.0,jor,57092.0,31.711100000000002,5.5092402,3,,,2010,,,72,27,,,72,0,,,72,0,,,1,13682
SSD,SS,4572.0,44319.0,44319.0,juba,,31.57125,4.859363,1,,,1990,1.0,99.0,241,87,,,241,3,,,241,2,,,3,30735
SSD,SS,4572.0,44323.0,44323.0,juba bayak,57093.0,31.57125,4.859363,1,,,2010,,,75,13,,,75,0,,,75,0,,,1,13677
SSD,SS,4572.0,44319.0,44319.0,juba nabari,56996.0,31.57125,4.859363,1,,,2010,,,57,7,,,57,0,,,57,0,,,1,13641
SSD,SS,4577.0,44367.0,44367.0,juom,57057.0,28.846201,9.0476904,3,,,2010,,,70,0,,,70,0,,,70,1,,,1,13866
SSD,SS,4577.0,44366.0,44366.0,kak,57050.0,30.0357,8.3139296,3,,,2010,,,60,0,,,60,0,,,60,0,,,1,13852
SSD,SS,4578.0,44378.0,44378.0,kaka primary school,,32.619999,11.2904,3,school,mapping,2018,9.0,14.0,49,0,0.0,0.0,49,0,0.0,0.0,49,0,0.0,0.0,1,36727
SSD,SS,4580.0,44392.0,44392.0,kalusi primary school,,29.598337,5.3099832,3,school,mapping,2018,10.0,13.0,50,2,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36769
SSD,SS,4577.0,44365.0,44365.0,kangkoi,57041.0,30.116899,8.3342505,3,,,2010,,,60,1,,,60,0,,,60,0,,,1,13846
SSD,SS,4572.0,44320.0,44320.0,kansuk,57020.0,31.5539,3.98593,3,,,2010,,,74,35,,,74,0,,,74,0,,,1,13658
SSD,SS,4576.0,44357.0,44357.0,kanwanji,56905.0,26.8237,8.0589104,3,,,2009,,,70,0,,,70,0,,,70,0,,,1,13757
SSD,SS,4573.0,44329.0,44329.0,kapoeta mix,16338.0,33.5923941,4.7713162,1,,,2016,,,50,1,,,50,0,,,50,0,,,1,13696
SSD,SS,4576.0,44358.0,44358.0,karagala,56921.0,27.520599,8.8770399,3,,,2009,,,8,0,,,8,0,,,8,0,,,1,13769
SSD,SS,4580.0,44394.0,44394.0,karika,16358.0,30.03698833,5.130336667,3,,,2016,,,50,1,,,50,0,,,50,0,,,1,13930
SSD,SS,4576.0,44358.0,44358.0,karmarial,56922.0,27.496799,8.8964005,3,,,2009,,,64,0,,,64,0,,,64,0,,,1,13764
SSD,SS,4572.0,44319.0,44319.0,karpecho,56997.0,31.6071,4.8547401,3,,,2010,,,72,26,,,72,0,,,72,0,,,1,13633
SSD,SS,4573.0,44328.0,44328.0,karukomuge,16332.0,33.55526,5.067425,3,,,2016,,,48,0,,,48,0,,,48,0,,,1,13692
SSD,SS,4572.0,44319.0,44319.0,kasaba,56998.0,31.6073,4.82656,3,,,2010,,,57,10,,,57,0,,,57,0,,,1,13630
SSD,SS,4572.0,44319.0,44319.0,katigiri,56999.0,30.9338,4.6907701,3,,,2010,,,68,45,,,68,0,,,68,0,,,1,13627
SSD,SS,4573.0,44329.0,44329.0,katiko,16339.0,33.3735468,4.294114,3,,,2016,,,50,1,,,50,0,,,50,0,,,1,13697
SSD,SS,4573.0,44329.0,44329.0,katome pri,16340.0,33.59956167,4.7638616670000005,3,,,2016,,,50,1,,,50,0,,,50,0,,,1,13693
SSD,SS,4580.0,44392.0,44392.0,kazan i primary school,,29.4676,4.887417,3,school,mapping,2018,9.0,14.0,50,9,0.0,0.0,50,1,0.0,0.0,50,0,0.0,0.0,1,36770
SSD,SS,4577.0,44363.0,44363.0,keat,56984.0,29.947399,8.8727503,3,,,2010,,,45,0,,,45,0,,,45,0,,,1,13834
SSD,SS,4577.0,44366.0,44366.0,kech,57051.0,29.942101,8.1626797,3,,,2010,,,24,0,,,24,0,,,24,0,,,1,13859
SSD,SS,4572.0,44320.0,44320.0,kendiri,57021.0,31.4021,3.8067900999999997,3,,,2010,,,63,23,,,63,0,,,63,0,,,1,13666
SSD,SS,4572.0,44321.0,44321.0,kenyi,57033.0,31.416667,4.883333,1,,,2010,,,63,40,,,63,0,,,63,1,,,1,13669
SSD,SS,4579.0,44385.0,44385.0,kharic,16329.0,28.00814833,8.086831667,3,,,2016,,,52,0,,,52,0,,,52,0,,,1,13898
SSD,SS,4581.0,44402.0,44402.0,khor buga primary school,,25.5536304,8.4758467,3,school,mapping,2018,9.0,15.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36756
SSD,SS,4572.0,44322.0,44322.0,kimba,57069.0,30.8591,3.57669,3,,,2010,,,60,24,,,60,0,,,60,2,,,1,13674
SSD,SS,4572.0,44322.0,44322.0,kindii,57070.0,30.7675,3.6931000000000003,3,,,2010,,,70,33,,,70,0,,,70,0,,,1,13672
SSD,SS,4579.0,44389.0,44389.0,koch koch,57100.0,28.558901,9.0484304,3,,,2010,,,60,0,,,60,0,,,60,0,,,1,13919
SSD,SS,4578.0,44372.0,44372.0,kodok combien primary sch,,32.153618,9.959933,3,school,mapping,2018,9.0,15.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36710
SSD,SS,4572.0,44319.0,44319.0,koligo,57000.0,31.5921,4.7394199,3,,,2010,,,58,12,,,58,0,,,58,0,,,1,13645
SSD,SS,4576.0,44361.0,44361.0,kolroth,56966.0,27.2698,8.9488096,3,,,2009,,,65,2,,,65,0,,,65,0,,,1,13813
SSD,SS,4577.0,44369.0,44369.0,komagual,57079.0,29.5513,9.5364799,3,,,2010,,,61,0,,,61,0,,,61,0,,,1,13879
SSD,SS,4574.0,44343.0,44343.0,kondako primary school,,33.133217,6.811933,3,school,mapping,2018,10.0,14.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36694
SSD,SS,4574.0,44346.0,44346.0,kongor,109486.0,31.34119,7.159369,1,,,2016,10.0,0.0,47,2,,,47,0,,,47,0,,,1,1678
SSD,SS,4580.0,44393.0,44393.0,kotobi,16352.0,30.1993381,5.2447541,1,,,2016,,,50,4,,,50,1,,,50,0,,,1,13929
SSD,SS,4581.0,44401.0,44401.0,kuajiena,,28.4436,7.29205,3,school,mapping,2018,10.0,15.0,49,0,0.0,0.0,49,0,0.0,0.0,49,0,0.0,0.0,1,36750
SSD,SS,4577.0,44363.0,44363.0,kuanyruo,56985.0,30.043501,9.32654,3,,,2010,,,60,0,,,60,0,,,60,0,,,1,13833
SSD,SS,4572.0,44319.0,44319.0,kuda,57001.0,31.6071,4.8547401,3,,,2010,,,62,36,,,62,0,,,62,0,,,1,13640
SSD,SS,4578.0,44373.0,44373.0,kuembor,,33.4980755,9.0283585,3,school,mapping,2018,6.0,15.0,35,0,0.0,0.0,35,0,0.0,0.0,35,0,0.0,0.0,1,36713
SSD,SS,4574.0,44342.0,44342.0,kuemduok,,30.762006,9.3455105,3,school,mapping,2018,10.0,15.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36691
SSD,SS,4577.0,44367.0,44367.0,kuerbunona center,57058.0,29.1082,9.13064,3,,,2010,,,68,0,,,68,0,,,68,0,,,1,13860
SSD,SS,4577.0,44365.0,44365.0,kuerier,57042.0,30.1357,8.3295803,3,,,2010,,,62,0,,,62,0,,,62,0,,,1,13847
SSD,SS,4577.0,44363.0,44363.0,kuerlatjor,56986.0,29.9366,9.2916603,3,,,2010,,,62,0,,,62,0,,,62,0,,,1,13832
SSD,SS,4577.0,44366.0,44366.0,kuok,57052.0,30.0739,8.4436398,3,,,2010,,,66,3,,,66,0,,,66,0,,,1,13858
SSD,SS,4577.0,44369.0,44369.0,kur,57080.0,29.657101,8.9392099,3,,,2010,,,54,0,,,54,0,,,54,0,,,1,13872
SSD,SS,4577.0,44370.0,44370.0,labang,57109.0,30.093399,9.6698599,3,,,2010,,,63,0,,,63,0,,,63,0,,,1,13890
SSD,SS,4572.0,44321.0,44321.0,lainya,57034.0,31.0048384,4.2550657,1,,,2010,,,67,45,,,67,0,,,67,0,,,1,13668
SSD,SS,4581.0,44402.0,44402.0,lamba primary school,,25.6872222,8.4519444,3,school,mapping,2018,9.0,15.0,49,0,0.0,0.0,49,0,0.0,0.0,49,0,0.0,0.0,1,36757
SSD,SS,4579.0,44387.0,44387.0,lang kap pri,16387.0,28.91422,8.559738333,3,,,2016,,,50,0,,,50,0,,,50,0,,,1,13914
SSD,SS,4574.0,44343.0,44343.0,langachod mixed primary school,,28.1338889,6.7911111,4,school,mapping,2018,10.0,14.0,42,0,0.0,0.0,42,0,0.0,0.0,42,0,0.0,0.0,1,36695
SSD,SS,4576.0,44361.0,44361.0,langic,56967.0,26.8416,9.1097403,3,,,2009,,,61,0,,,61,0,,,61,0,,,1,13822
SSD,SS,4580.0,44393.0,44393.0,lanyi pri,16353.0,30.50648833,5.253523333,3,,,2016,,,50,0,,,50,0,,,50,0,,,1,13928
SSD,SS,4572.0,44324.0,44324.0,lasu,57102.0,30.467199,3.9495399,3,,,2010,,,61,42,,,61,0,,,61,1,,,1,13687
SSD,SS,4574.0,44344.0,44344.0,liech pri,16362.0,34.28317833,6.98038,3,,,2016,,,45,12,,,45,0,,,45,12,,,1,13707
SSD,SS,4579.0,44384.0,44384.0,lietnhom,16323.0,28.47855333,8.614911667,3,,,2016,,,55,0,,,55,0,,,55,0,,,1,13895
SSD,SS,4576.0,44358.0,44358.0,lietnhom,56923.0,27.4097,8.8977604,3,,,2009,,,65,2,,,65,0,,,65,0,,,1,13785
SSD,SS,4572.0,44319.0,44319.0,limuro,57002.0,31.333401,4.60149,3,,,2010,,,70,46,,,70,0,,,70,1,,,1,13649
SSD,SS,4579.0,44387.0,44387.0,lingera,57097.0,29.150999,8.5801802,3,,,2010,,,64,0,,,64,0,,,64,0,,,1,13907
SSD,SS,4572.0,44319.0,44319.0,lirya center,57003.0,31.851299,4.6925602,3,,,2010,,,61,39,,,61,0,,,61,1,,,1,13631
SSD,SS,4572.0,44319.0,44319.0,lokiliri,57004.0,31.9375,4.5736299,3,,,2010,,,55,27,,,55,0,,,55,1,,,1,13639
SSD,SS,4572.0,44319.0,44319.0,lolongo,57005.0,31.5956,4.8175502,3,,,2010,,,58,4,,,58,0,,,58,0,,,1,13646
SSD,SS,4572.0,44320.0,44320.0,lomin,57022.0,31.659,3.82741,3,,,2010,,,67,10,,,67,0,,,67,1,,,1,13664
SSD,SS,4573.0,44328.0,44328.0,lomoyen,16333.0,33.46297833,4.905348333,3,,,2016,,,52,0,,,52,0,,,52,0,,,1,13691
