"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"NER","NE",3668.0,35298.0,35298.0,"",13.2648576,13.6181979,1,"","mapping",2014.0,8.0,12.0,50,0,50,0,50,0,1,27297,0.0,0.0,0.0,0.0,10220.218814719945,0,0,0,1
"NER","NE",3668.0,35299.0,35299.0,55657.0,11.988,13.384,3,"","",2004.0,"","",60,0,60,0,60,0,2,10104,0.0,0.0,0.0,0.0,4304.878009779919,1,1,1,2
"NER","NE",3673.0,35330.0,35330.0,55721.0,1.4833,14.1833,3,"","",2004.0,"","",53,0,53,0,53,0,2,10243,0.0,0.0,0.0,0.0,6612.240913317311,2,2,2,3
"NER","NE",3667.0,35297.0,35297.0,"",7.8912099,15.6195898,1,"","mapping",2005.0,10.0,12.0,60,0,60,0,60,0,2,27284,0.0,0.0,0.0,0.0,0.0,3,3,4,4
"NER","NE",3667.0,35297.0,35297.0,13809.0,7.8912099,15.6195898,1,"","",2006.0,"","",60,0,60,0,60,0,1,10089,0.0,0.0,0.0,0.0,0.0,4,4,3,4
"NER","NE",3667.0,35295.0,35295.0,"",7.3381532,18.7085539,1,"","mapping",2014.0,8.0,15.0,50,0,50,0,50,0,1,27270,0.0,0.0,0.0,0.0,6416.864240066394,5,5,5,5
"NER","NE",3674.0,35331.0,35331.0,55625.0,10.618,13.797,3,"","",2004.0,"","",47,2,47,0,47,0,2,10248,0.0425531914893617,0.0,0.0,0.04014452027298273,35847.34376064224,6,6,6,6
"NER","NE",3669.0,35303.0,35303.0,55603.0,4.414,13.724,3,"","",2004.0,"","",21,0,21,0,21,0,2,10120,0.0,0.0,0.0,0.0,17684.212801980615,7,7,7,7
"NER","NE",3673.0,35326.0,35326.0,55636.0,2.2474999,13.3597,3,"","",2004.0,"","",60,0,60,0,60,0,2,10223,0.0,0.0,0.0,0.0,2778.3735558426074,8,8,8,8
"NER","NE",3668.0,35298.0,35298.0,55595.0,12.964,13.522,3,"","",2004.0,"","",51,0,51,0,51,0,2,10102,0.0,0.0,0.0,0.0,12863.545760424591,9,9,9,9
"NER","NE",3669.0,35303.0,35303.0,55604.0,4.2550001,13.529,3,"","",2004.0,"","",60,0,60,0,60,0,2,10121,0.0,0.0,0.0,0.0,28498.7797135501,10,10,10,10
"NER","NE",3667.0,35297.0,35297.0,"",7.0222741,15.9894329,3,"","mapping",2005.0,3.0,15.0,51,0,51,0,51,0,2,27286,0.0,0.0,0.0,0.0,0.0,11,11,12,11
"NER","NE",3667.0,35297.0,35297.0,13810.0,7.0222741,15.9894329,3,"","",2006.0,"","",52,0,52,0,52,0,1,10090,0.0,0.0,0.0,0.0,0.0,12,12,11,11
"NER","NE",3672.0,35319.0,35319.0,13755.0,4.6666667,14.3333333,3,"","",2006.0,"","",60,0,60,0,60,0,1,10187,0.0,0.0,0.0,0.0,4665.9448251773065,13,13,13,12
"NER","NE",3668.0,35299.0,35299.0,55658.0,11.091,13.635,3,"","",2004.0,"","",60,0,60,0,60,0,2,10113,0.0,0.0,0.0,0.0,22029.54791301212,14,14,14,13
"NER","NE",3667.0,35296.0,35296.0,"",12.90916,19.3864899,1,"","mapping",2013.0,7.0,14.0,50,0,50,0,50,0,1,27280,0.0,0.0,0.0,0.0,478338.93395278923,15,15,15,14
"NER","NE",3673.0,35327.0,35327.0,55679.0,2.5250000999999997,14.293,3,"","",2004.0,"","",33,0,33,0,33,0,2,10235,0.0,0.0,0.0,0.0,250.51859221543748,16,16,16,15
"NER","NE",3674.0,35332.0,35332.0,"",9.51001,12.89653,3,"","mapping",2005.0,7.0,13.0,60,0,60,0,60,0,2,27562,0.0,0.0,0.0,0.0,0.0,17,17,18,16
"NER","NE",3674.0,35332.0,35332.0,13766.0,9.51001,12.89653,3,"","",2006.0,"","",60,0,60,0,60,0,1,10261,0.0,0.0,0.0,0.0,0.0,18,18,17,16
"NER","NE",3667.0,35297.0,35297.0,"",8.408534,17.633881,1,"","mapping",2013.0,7.0,14.0,50,0,50,0,50,0,1,27287,0.0,0.0,0.0,0.0,18952.027501597368,19,19,19,17
"NER","NE",3672.0,35321.0,35321.0,"",5.88472,14.04421,3,"","sentinel site",2018.0,7.0,11.0,54,0,54,2,54,0,1,27456,0.0,0.037037037037037035,0.0,0.034940600978336823,29833.777425545104,20,20,20,18
"NER","NE",3673.0,35325.0,35325.0,55608.0,3.576,14.918,3,"","",2004.0,"","",60,4,60,0,60,0,2,10203,0.06666666666666667,0.0,0.0,0.06289308176100628,34417.00951417684,21,21,21,19
"NER","NE",3668.0,35299.0,35299.0,55659.0,7.3894772,18.7390029,1,"","",2004.0,"","",49,2,49,0,49,0,2,10114,0.04081632653061224,0.0,0.0,0.03850596842510588,0.0,22,22,23,20
"NER","NE",3667.0,35295.0,35295.0,13725.0,7.3894772,18.7390029,1,"","",2006.0,"","",60,0,60,0,60,0,1,10072,0.0,0.0,0.0,0.0,0.0,23,23,22,20
